Elvis Mutapcic|15|6|1|"6' 0"""|185 lbs.|"72"""|Orthodox|Jul 19, 1986|3.41|40%|4.27|38%|0.00|0%|81%|0.0
Azamat Murzakanov|10|0|0|"5' 10"""|225 lbs.|"71"""|Southpaw|Apr 12, 1989|3.00|52%|1.33|63%|0.00|0%|0%|0.0
Nicholas Musoke|13|5|0|"6' 0"""|170 lbs.|"75"""|Orthodox|Apr 05, 1986|3.56|35%|3.80|57%|1.16|19%|82%|0.2
Khalid Murtazaliev|14|2|0|"6' 0"""|185 lbs.|"76"""|Orthodox|Jul 15, 1993|4.80|69%|0.40|78%|7.50|100%|33%|0.0
Lee Murray|8|2|1|"6' 3"""|185 lbs.|No Stat|Orthodox|Sep 12, 1977|0.36|15%|3.28|32%|0.90|100%|42%|1.8
Lerone Murphy|11|0|1|"5' 9"""|145 lbs.|"73"""|Orthodox|Jul 22, 1991|2.58|42%|1.90|62%|0.76|33%|36%|0.8
Jesse Murray|8|4|0|"6' 3"""|205 lbs.|"78"""|Orthodox|Jan 26, 1993|2.38|28%|7.72|43%|0.00|0%|0%|0.0
Patrick Murphy|5|3|0|"6' 0"""|170 lbs.|No Stat|No Stat|No Stat|3.40|66%|0.80|42%|0.00|0%|50%|1.0
Jon Murphy|6|4|0|"6' 3"""|260 lbs.|No Stat|Orthodox|Aug 09, 1977|3.93|66%|8.85|43%|0.00|0%|0%|0.0
Lauren Murphy|15|5|0|"5' 5"""|125 lbs.|"67"""|Orthodox|Jul 27, 1983|3.58|38%|4.35|59%|1.03|34%|65%|0.1
Tom Murphy|8|0|0|"6' 2"""|227 lbs.|No Stat|Southpaw|Nov 19, 1974|2.50|71%|0.17|84%|7.51|85%|0%|2.5
Ian Murphy|1|1|0|"6' 1"""|185 lbs.|No Stat|Orthodox|Jun 14, 1985|0.00|0%|1.93|30%|4.13|100%|0%|0.0
Kanako Murata|12|2|0|"5' 1"""|115 lbs.|"62"""|Orthodox|Aug 10, 1993|2.08|59%|2.60|53%|2.40|40%|0%|1.2
Ryuichi Murata|8|3|1|"5' 8"""|183 lbs.|No Stat|Orthodox|No Stat|0.84|36%|1.89|50%|4.74|50%|100%|3.2
Kazunari Murakami|5|5|0|"6' 1"""|220 lbs.|No Stat|Orthodox|Nov 29, 1973|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Makhmud Muradov|25|7|0|"6' 2"""|185 lbs.|"75"""|Orthodox|Feb 08, 1990|5.39|42%|3.17|61%|0.31|16%|80%|0.3
Andy Murad|15|2|0|"5' 9"""|185 lbs.|No Stat|No Stat|No Stat|2.60|76%|2.87|32%|1.00|20%|42%|0.0
Vince Murdock|12|4|0|"5' 6"""|145 lbs.|"64"""|Orthodox|Mar 21, 1991|1.21|21%|7.17|40%|0.00|0%|0%|0.0
Olivier Murad|6|0|0|"5' 10"""|145 lbs.|"72"""|Southpaw|Dec 21, 1993|2.60|36%|2.20|61%|1.00|100%|55%|0.0
Alexander Munoz|6|2|0|"5' 9"""|155 lbs.|"72"""|Switch|Feb 27, 1990|3.96|43%|5.49|52%|3.00|39%|0%|0.0
Andre Muniz|21|4|0|"6' 1"""|185 lbs.|"78"""|Southpaw|Feb 17, 1990|2.16|58%|1.90|45%|3.12|40%|40%|2.3
Johnny Munoz|11|1|0|"5' 9"""|135 lbs.|"71"""|Orthodox|Feb 16, 1993|2.79|42%|1.24|67%|2.66|21%|0%|2.7
Jamie Mullarkey|14|4|0|"6' 0"""|155 lbs.|"74"""|Orthodox|Aug 17, 1994|3.03|40%|4.45|45%|3.50|32%|66%|0.4
Pedro Munhoz|19|6|0|"5' 6"""|135 lbs.|"65"""|Orthodox|Sep 07, 1986|5.55|43%|6.02|57%|0.62|21%|80%|0.7
Mark Munoz|14|6|0|"6' 0"""|185 lbs.|"71"""|Orthodox|Feb 09, 1978|3.12|51%|2.26|57%|3.17|29%|57%|0.6
Jim Mullen|0|2|0|"6' 1"""|215 lbs.|No Stat|Southpaw|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Quinn Mulhern|18|4|0|"6' 3"""|155 lbs.|No Stat|Orthodox|Sep 20, 1984|1.48|28%|2.09|51%|1.36|20%|33%|0.0
James Mulheron|11|2|0|"5' 10"""|243 lbs.|"73"""|Orthodox|Feb 20, 1988|2.40|31%|3.47|42%|0.00|0%|25%|0.0
Belal Muhammad|19|3|0|"5' 11"""|170 lbs.|"72"""|Orthodox|Jul 09, 1988|4.61|42%|3.80|60%|1.80|28%|91%|0.2
Fazlo Mulabitinovic|4|2|0|No Stat|135 lbs.|No Stat|No Stat|No Stat|0.54|16%|0.00|100%|0.00|0%|0%|8.0
Lauren Mueller|5|3|0|"5' 5"""|125 lbs.|"67"""|Orthodox|Nov 15, 1991|4.08|41%|3.77|58%|0.70|50%|71%|0.0
Garrett Mueller|3|3|0|"5' 9"""|135 lbs.|No Stat|No Stat|Jan 29, 1989|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Askar Mozharov|21|8|0|"6' 3"""|205 lbs.|No Stat|No Stat|Oct 26, 1994|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Kin Moy|8|3|0|"5' 5"""|135 lbs.|No Stat|No Stat|No Stat|2.30|33%|1.93|62%|1.67|42%|50%|1.7
Jamie Moyle|4|3|0|"5' 1"""|115 lbs.|"65"""|Orthodox|Mar 17, 1989|4.51|51%|4.00|65%|1.00|21%|50%|0.0
Kris Moutinho|9|5|0|"5' 7"""|135 lbs.|"68"""|Southpaw|Aug 09, 1992|4.81|32%|15.81|27%|0.00|0%|0%|0.0
Flavio Luiz Moura|19|7|0|"5' 11"""|183 lbs.|No Stat|Open Stance|No Stat|0.67|16%|0.00|0%|0.00|0%|0%|0.0
Nikolas Motta|12|3|0|"5' 9"""|155 lbs.|"70"""|Orthodox|Feb 08, 1993|2.80|27%|3.60|66%|0.00|0%|100%|0.0
Juan Mott|3|4|0|"6' 0"""|190 lbs.|No Stat|Switch|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Jack Morrison|0|3|0|"5' 11"""|205 lbs.|No Stat|No Stat|No Stat|0.00|0%|19.31|40%|0.00|0%|0%|0.0
Gegard Mousasi|42|6|2|"6' 2"""|185 lbs.|"76"""|Orthodox|Aug 01, 1985|3.75|50%|1.21|68%|1.59|60%|59%|1.1
Harry Moskowitz|6|12|0|"6' 5"""|275 lbs.|No Stat|Orthodox|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Anthony Morrison|20|12|0|"5' 7"""|145 lbs.|No Stat|Orthodox|Mar 29, 1984|1.70|33%|0.49|80%|0.00|0%|50%|0.0
Brad Morris|10|6|0|"6' 2"""|205 lbs.|No Stat|Orthodox|Nov 01, 1979|0.50|62%|6.95|27%|0.00|0%|0%|0.0
Maryna Moroz|10|3|0|"5' 7"""|125 lbs.|"67"""|Orthodox|Sep 08, 1991|4.09|31%|4.15|53%|0.56|18%|47%|0.4
Sergey Morozov|17|4|0|"5' 6"""|135 lbs.|"67"""|Orthodox|Jun 14, 1989|2.41|42%|2.45|64%|3.81|37%|58%|0.0
Scott Morris|2|1|0|"5' 10"""|210 lbs.|No Stat|Orthodox|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Alex Morono|21|7|0|"5' 11"""|170 lbs.|"72"""|Orthodox|Aug 16, 1990|5.21|42%|3.93|56%|0.35|25%|53%|0.3
Peggy Morgan|4|4|0|"6' 1"""|135 lbs.|No Stat|No Stat|Dec 16, 1979|2.27|23%|8.20|33%|0.00|0%|50%|0.0
Sammy Morgan|18|12|0|"5' 10"""|170 lbs.|No Stat|Orthodox|Sep 28, 1981|1.05|22%|3.74|40%|1.43|20%|0%|0.5
Dan Moret|13|6|0|"6' 0"""|155 lbs.|"73"""|Southpaw|Nov 21, 1986|2.67|43%|3.56|43%|1.25|27%|45%|0.4
Mike Moreno|6|5|0|"6' 0"""|185 lbs.|No Stat|No Stat|No Stat|1.27|51%|1.07|58%|0.00|0%|44%|0.0
Brandon Moreno|19|5|2|"5' 7"""|125 lbs.|"70"""|Orthodox|Dec 07, 1993|3.44|39%|3.29|58%|2.05|47%|65%|0.8
Jesse Moreng|9|1|0|"5' 7"""|145 lbs.|No Stat|Orthodox|Nov 09, 1979|1.26|40%|2.08|48%|5.56|100%|100%|0.0
Vinicius Moreira|9|5|0|"6' 4"""|205 lbs.|"76"""|Orthodox|Feb 28, 1989|3.15|59%|5.07|43%|1.97|18%|0%|1.3
Gisele Moreira|8|3|0|"5' 6"""|135 lbs.|No Stat|Orthodox|Jan 14, 1981|5.93|42%|6.33|48%|4.00|57%|0%|0.0
Richardson Moreira|7|4|0|"6' 2"""|185 lbs.|No Stat|Orthodox|Mar 31, 1984|1.17|28%|1.83|67%|0.00|0%|100%|0.0
Christian Morecraft|8|3|0|"6' 6"""|260 lbs.|"81"""|Orthodox|Sep 08, 1986|2.82|34%|2.46|46%|3.26|66%|50%|2.2
Joe Moreira|2|2|0|"5' 11"""|195 lbs.|No Stat|Southpaw|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Michael Morales|12|0|0|"6' 0"""|170 lbs.|"79"""|Orthodox|Jun 24, 1999|3.53|43%|3.47|34%|4.00|50%|100%|0.0
Omar Morales|11|2|0|"5' 11"""|145 lbs.|"73"""|Orthodox|Oct 17, 1985|3.40|38%|2.83|63%|0.60|100%|63%|0.0
Sarah Moras|6|8|0|"5' 7"""|135 lbs.|"67"""|Orthodox|Apr 30, 1988|2.28|34%|3.58|50%|0.67|21%|33%|0.8
Vince Morales|11|5|0|"5' 7"""|135 lbs.|"70"""|Orthodox|Nov 12, 1990|4.62|39%|4.25|54%|0.19|25%|50%|0.0
Albert Morales|7|4|1|"5' 9"""|135 lbs.|"72"""|Orthodox|May 25, 1991|3.81|35%|3.96|56%|0.91|35%|70%|0.2
Leonardo Morales|6|2|0|"5' 8"""|135 lbs.|No Stat|Southpaw|Dec 22, 1992|2.05|47%|2.05|58%|0.00|0%|62%|0.0
John Moraga|19|7|0|"5' 6"""|125 lbs.|"66"""|Orthodox|Mar 20, 1984|2.57|43%|2.55|56%|0.62|23%|44%|1.1
Ricardo Morais|10|4|1|"6' 8"""|270 lbs.|No Stat|Orthodox|Feb 26, 1967|2.86|37%|2.39|53%|0.00|0%|0%|0.0
Sergio Moraes|14|6|1|"6' 0"""|170 lbs.|"72"""|Orthodox|Jul 23, 1982|2.42|42%|3.73|59%|1.20|38%|75%|0.4
Joseph Morales|9|2|0|"5' 6"""|125 lbs.|"69"""|Switch|Aug 22, 1994|1.58|37%|1.72|60%|0.53|50%|23%|2.6
Dustin Moore|0|2|0|"5' 4"""|125 lbs.|No Stat|No Stat|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Sheymon Moraes|11|4|0|"5' 8"""|145 lbs.|"72"""|Orthodox|Oct 11, 1990|3.00|42%|3.64|63%|0.00|0%|53%|0.0
Taylor Moore|10|5|0|"5' 10"""|135 lbs.|"70"""|Southpaw|Oct 16, 1993|0.20|75%|2.07|42%|0.00|0%|25%|0.0
Marlon Moraes|23|9|1|"5' 6"""|135 lbs.|"67"""|Orthodox|Apr 26, 1988|3.34|40%|4.47|53%|0.89|41%|46%|0.4
Nate Moore|8|4|0|"6' 0"""|170 lbs.|No Stat|No Stat|No Stat|2.21|25%|2.87|42%|1.23|16%|25%|0.0
Todd Moore|16|7|0|"5' 9"""|170 lbs.|"71"""|Southpaw|Dec 30, 1983|1.83|26%|2.30|57%|0.78|14%|54%|0.0
Homer Moore|26|9|2|"5' 10"""|205 lbs.|No Stat|Orthodox|Nov 27, 1971|0.68|50%|0.68|0%|5.07|66%|0%|0.0
James Moontasri|9|5|0|"5' 10"""|170 lbs.|"71"""|Switch|Apr 10, 1988|2.39|48%|3.86|40%|0.00|0%|79%|0.2
Alberto Montes|4|0|0|"5' 7"""|135 lbs.|No Stat|No Stat|May 31, 1994|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Nicco Montano|5|3|0|"5' 5"""|135 lbs.|"65"""|Southpaw|Dec 16, 1988|5.60|41%|4.43|64%|2.25|54%|69%|0.4
Erick Montano|7|5|0|"6' 0"""|170 lbs.|"73"""|Orthodox|Nov 19, 1985|2.79|44%|2.06|64%|2.29|36%|66%|0.0
Andrew Montanez|9|12|1|No Stat|185 lbs.|No Stat|No Stat|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Augusto Montano|15|3|0|"6' 1"""|170 lbs.|"73"""|Orthodox|Oct 25, 1984|3.46|46%|2.66|56%|0.00|0%|66%|0.0
Hidetaka Monma|18|11|4|"6' 0"""|168 lbs.|No Stat|Orthodox|Oct 23, 1973|1.67|25%|9.76|34%|0.00|0%|0%|0.0
Jeff Monson|60|26|1|"5' 9"""|247 lbs.|"74"""|Orthodox|Jan 18, 1971|0.97|30%|2.87|59%|1.06|12%|66%|0.7
Darrell Montague|13|5|0|"5' 6"""|125 lbs.|"67"""|Southpaw|Nov 03, 1987|1.92|25%|5.38|52%|0.72|25%|33%|1.4
Rudyard Moncayo|0|3|0|"5' 10"""|195 lbs.|No Stat|Orthodox|No Stat|0.00|0%|0.00|0%|0.00|0%|0%|0.0
Jeff Molina|10|2|0|"5' 6"""|125 lbs.|"69"""|Orthodox|Jul 17, 1997|8.72|50%|6.12|53%|0.00|0%|37%|0.0
Dan Molina|13|9|0|"5' 10"""|216 lbs.|No Stat|No Stat|Jun 14, 1984|0.00|0%|5.58|60%|0.00|0%|0%|20.9
Suman Mokhtarian|8|5|0|"5' 8"""|145 lbs.|"72"""|Orthodox|Jun 13, 1992|2.21|43%|6.85|48%|0.00|0%|0%|0.0
