Fight_ID|Fight_Date|Gender|Weight_Class|Title_Fight|Result|Method|Round|Time|Fight_Time_Format|Fighter_1_Name|Fighter_1_Nickname|Fighter_1_Age|Fighter_1_Wins|Fighter_1_Loses|Fighter_1_Draws|Fighter_1_Avg_Time(MINS)|Fighter_1_Height|Fighter_1_Reach|Fighter_1_Stance|Fighter_1_Sign_SLpMin|Fighter_1_Str_Acc|Fighter_1_Sign_SApMin|Fighter_1_Defense|Fighter_1_Takedown_Avgp15M|Fighter_1_Takedown_Acc|Fighter_1_Takedown_Def|Fighter_1_Sub_Avgp15M|Fighter_2_Name|Fighter_2_Nickname|Fighter_2_Age|Fighter_2_Wins|Fighter_2_Loses|Fighter_2_Draws|Fighter_2_Avg_Time(MINS)|Fighter_2_Height|Fighter_2_Reach|Fighter_2_Stance|Fighter_2_Sign_SLpMin|Fighter_2_Str_Acc|Fighter_2_Sign_SApMin|Fighter_2_Defense|Fighter_2_Takedown_Avgp15M|Fighter_2_Takedown_Acc|Fighter_2_Takedown_Def|Fighter_2_Sub_Avgp15M
12|1999-09-24|male|light heavyweight|True|win| KO/TKO |4|4:42|5Rnd(5-5-5-5-5)|Frank Shamrock|No_Nick|27.0|22|10|2|19.7|"5' 10"""||Orthodox|1.5736040609137056|50.81967213114754|1.015228426395939|72.97297297297297|0.0|0.0|11.111111111111116|0.7614213197969544|Tito Ortiz|The People's Champ|24.0|7|2|0|19.7|"6' 3"""|"74"""|Orthodox|1.015228426395939|27.027027027027028|1.5736040609137056|49.18032786885246|6.091370558375635|88.88888888888889|0.0|0.0
13|1999-09-24|male|heavyweight|False|draw| Decision - Unanimous |3|5:00|3Rnd(5-5-5)|Tim Lajcik|The Bohemian|34.0|7|6|0|10.0|"6' 1"""||Orthodox|1.2|0.3870967741935484|1.1|21.42857142857143|0.0|0.0|100.0|0.0|Ron Waterman|H20|34.0|15|6|1|15.0|"6' 2"""||Orthodox|0.9333333333333333|56.00000000000001|0.8|60.0|2.0|20.0|0.0|2.0
14|1999-11-19|male|middleweight|False|win| KO/TKO |3|3:12|3Rnd(5-5-5)|Eugene Jackson|The Wolf|33.0|13|5|1|6.316666666666666|"5' 8"""||Orthodox|3.324538258575198|0.45652173913043476|1.741424802110818|57.692307692307686|0.0|0.0|75.0|2.37467018469657|Keiichiro Yamamiya|No_Nickname|27.0|45|34|10|13.2|"5' 11"""||Southpaw|1.0606060606060606|24.137931034482758|1.6666666666666667|79.04761904761905|0.0|0.0|100.0|0.0
15|1999-11-19|male|catch weight|False|win| KO/TKO |2|3:12|3Rnd(5-5-5)|Katsuhisa Fujii|Shamoji|27.0|8|17|1|8.2|"6' 0"""||Orthodox|2.1951219512195124|43.90243902439025|2.1951219512195124|63.26530612244898|0.0|0.0|66.66666666666667|0.0|Masutatsu Yano|No_Nickname|24.0|2|3|1|8.2|"5' 9"""||Orthodox|2.1951219512195124|36.734693877551024|2.1951219512195124|56.09756097560976|1.829268292682927|33.33333333333333|0.0|0.0
16|1999-11-19|male|catch weight|False|win| Decision - Unanimous |3|5:00|3Rnd(5-5-5)|Kenichi Yamamoto|No_Nick|23.0|3|11|2|15.0|"6' 0"""||Orthodox|1.3333333333333333|76.92307692307693|0.3333333333333333|44.44444444444444|0.0|0.0|0.0|0.0|Daiju Takase|No_Nickname|21.0|12|13|2|4.683333333333334|"6' 0"""||Southpaw|0.0|0.0|7.473309608540925|40.67796610169492|0.0|0.0|0.0|0.0
17|1999-11-19|male|middleweight|False|win| KO/TKO |1|1:28|3Rnd(5-5-5)|Joe Slick|No_Nick|22.0|15|4|3|1.4666666666666666|"6' 0"""||Orthodox|1.3636363636363638|100.0|0.6818181818181819|0.0|10.227272727272728|50.0|0.0|0.0|Jason DeLucia|No_Nickname|30.0|33|20|1|1.4666666666666666|"5' 11"""||Southpaw|0.6818181818181819|100.0|1.3636363636363638|0.0|0.0|0.0|50.0|0.0
18|1999-11-19|male|heavyweight|False|win| KO/TKO |3|1:17|3Rnd(5-5-5)|Pedro Rizzo|The Rock|25.0|14|6|0|11.283333333333333|"6' 1"""||Orthodox|1.240768094534712|29.78723404255319|1.240768094534712|57.57575757575757|0.0|0.0|100.0|0.0|Tsuyoshi Kohsaka|TK|29.0|27|17|2|10.0|"5' 11"""||Orthodox|1.1|0.7857142857142857|1.2|61.29032258064516|0.0|0.0|0.0|4.5
19|1999-11-19|male|heavyweight|True|win| Decision - Unanimous |5|5:00|5Rnd(5-5-5-5-5)|Kevin Randleman|The Monster|28.0|14|14|0|25.0|"5' 10"""||Orthodox|0.4|23.25581395348837|0.32|61.904761904761905|3.5999999999999996|54.54545454545454|0.0|1.2|Pete Williams|El Duro|24.0|12|2|0|25.0|"6' 3"""||Orthodox|0.32|38.095238095238095|0.4|76.74418604651163|0.0|0.0|45.45454545454546|0.6
20|1999-11-19|male|heavyweight|True|win| Submission |2|4:15|3Rnd(5-5-5)|Kenichi Yamamoto|No_Nick|23.0|4|11|2|15.0|"6' 0"""||Orthodox|1.3333333333333333|0.7692307692307693|0.3333333333333333|44.44444444444444|0.0|0.0|0.0|0.0|Katsuhisa Fujii|Shamoji|27.0|9|17|1|8.2|"6' 0"""||Orthodox|2.1951219512195124|0.43902439024390244|2.1951219512195124|63.26530612244898|0.0|0.0|66.66666666666667|0.0
21|2000-03-10|male|heavyweight|False|win| KO/TKO |1|3:23|3Rnd(5-5-5)|Tedd Williams|No_Nick|31.0|6|0|0|3.3833333333333333|"6' 1"""||Orthodox|2.6600985221674875|47.368421052631575|4.137931034482759|48.14814814814815|0.0|0.0|100.0|0.0|Steve Judson|No_Nickname||0|1|0|0.5|"5' 11"""||Orthodox|0.0|0.0|6.0|0.0|0.0|0.0|0.0|0.0
22|2000-03-10|male|middleweight|False|win| KO/TKO |3|3:35|3Rnd(5-5-5)|Lance Gibson|Fearless|30.0|3|4|0|13.583333333333334|"5' 9"""||Orthodox|2.429447852760736|62.264150943396224|1.987730061349693|42.553191489361694|2.208588957055215|50.0|0.0|1.1042944785276074|Jermaine Andre|No_Nickname||14|3|0|13.583333333333334|"5' 7"""||Orthodox|1.987730061349693|57.446808510638306|2.429447852760736|37.735849056603776|0.0|0.0|50.0|0.0
23|2000-03-10|male|lightweight|False|win| Submission |2|1:29|3Rnd(5-5-5)|Bob Cook|Crazy||4|0|0|6.483333333333333|"5' 9"""||Orthodox|3.3933161953727504|46.808510638297875|3.7017994858611827|61.904761904761905|2.313624678663239|20.0|0.0|4.627249357326478|Tiki Ghosn|No_Nickname|23.0|10|4|1|6.483333333333333|"5' 10"""||Orthodox|3.7017994858611827|38.095238095238095|3.3933161953727504|53.191489361702125|0.0|0.0|80.0|0.0
24|2000-03-10|male|lightweight|False|win| KO/TKO |2|2:41|3Rnd(5-5-5)|Jens Pulver|Little Evil|26.0|21|17|1|7.683333333333334|"5' 7"""|"70"""|Southpaw|7.02819956616052|50.467289719626166|2.6030368763557483|45.945945945945944|5.856832971800434|100.0|0.0|3.9045553145336225|David Velasquez|Little||10|9|0|7.683333333333334|"5' 5"""||Orthodox|2.6030368763557483|54.054054054054056|7.02819956616052|49.532710280373834|0.0|0.0|0.0|0.0
25|2000-03-10|male|lightweight|False|win| Decision - Unanimous |3|5:00|3Rnd(5-5-5)|Dave Menne|The Warrior|26.0|43|13|2|15.0|"5' 10"""||Orthodox|2.466666666666667|37.37373737373738|0.5333333333333333|63.63636363636363|0.0|0.0|91.66666666666666|1.0|Fabiano Iha|No_Nickname|30.0|6|2|0|15.0|"5' 8"""||Orthodox|0.5333333333333333|36.36363636363637|2.466666666666667|62.62626262626263|1.0|8.333333333333332|0.0|0.0
26|2000-04-14|male|middleweight|False|win| TKO - Doctor's Stoppage |3|1:54|3Rnd(5-5-5)|Ikuhisa Minowa|Minowaman|24.0|59|42|8|11.9|"5' 9"""||Orthodox|0.25210084033613445|15.789473684210526|0.6722689075630252|50.0|3.7815126050420167|37.5|0.0|0.0|Joe Slick|No_Nickname|23.0|16|4|3|1.4666666666666666|"6' 0"""||Orthodox|1.3636363636363638|1.0|0.6818181818181819|0.0|10.227272727272728|0.5|0.0|0.0
27|2000-04-14|male|middleweight|False|win| Submission |1|4:38|3Rnd(5-5-5)|Sanae Kikuta|No_Nick|29.0|30|9|3|4.633333333333334|"5' 9"""||Orthodox|1.7266187050359711|50.0|0.8633093525179856|19.999999999999996|6.474820143884891|100.0|0.0|6.474820143884891|Eugene Jackson|The Wolf|34.0|14|5|1|9.758333333333333|"5' 8"""||Orthodox|2.2032450896669515|0.2847682119205298|1.2809564474807857|70.23809523809523|0.0|0.0|75.0|0.7685738684884714
28|2000-04-14|male|heavyweight|False|win| Decision - Unanimous |3|5:00|3Rnd(5-5-5)|Ron Waterman|H20|35.0|15|6|2|15.0|"6' 2"""||Orthodox|0.9333333333333333|0.56|0.8|60.0|2.0|0.2|0.0|2.0|Satoshi Honma|No_Nickname|32.0|4|5|3|15.0|"6' 1"""||Orthodox|0.4|46.15384615384615|3.4|17.741935483870964|0.0|0.0|40.0|1.0
29|2000-04-14|male|lightweight|False|win| Decision - Majority |3|5:00|3Rnd(5-5-5)|Laverne Clark|No_Nick|27.0|26|20|1|15.0|"5' 11"""||Orthodox|0.8666666666666667|28.888888888888886|0.06666666666666667|75.0|0.0|0.0|72.72727272727273|0.0|Koji Oishi|No_Nickname|23.0|25|8|10|15.0|"5' 8"""||Orthodox|0.06666666666666667|25.0|0.8666666666666667|71.11111111111111|3.0|27.27272727272727|0.0|0.0
30|2000-04-14|male|middleweight|False|win| Submission |2|0:31|3Rnd(5-5-5)|Murilo Bustamante|No_Nick|34.0|12|7|1|5.516666666666667|"6' 2"""||Orthodox|1.9939577039274925|52.38095238095239|0.0|100.0|10.876132930513595|100.0|0.0|2.719033232628399|Yoji Anjo|Mr. 200%|33.0|0|3|1|5.516666666666667|"5' 11"""||Orthodox|0.0|0.0|1.9939577039274925|47.61904761904761|0.0|0.0|0.0|0.0
31|2000-04-14|male|light heavyweight|True|win| Decision - Unanimous |5|5:00|5Rnd(5-5-5-5-5)|Tito Ortiz|The People's Champ|25.0|7|3|0|19.7|"6' 3"""|"74"""|Orthodox|1.015228426395939|0.2702702702702703|1.5736040609137056|49.18032786885246|6.091370558375635|0.8888888888888888|0.0|0.0|Wanderlei Silva|The Axe Murderer|24.0|31|7|1|25.0|"5' 11"""|"74"""|Orthodox|0.4|37.03703703703704|0.8|53.48837209302326|0.0|0.0|33.333333333333336|0.0
32|2000-06-09|male|middleweight|False|win| Decision - Unanimous |3|5:00|3Rnd(5-5-5)|Tyrone Roberts|Native Warrior||42|12|1|15.0|"5' 9"""||Orthodox|1.0666666666666667|26.666666666666668|0.6666666666666666|67.74193548387098|1.0|100.0|100.0|0.0|David Dodd|No_Nickname|27.0|4|6|0|15.0|"6' 2"""||Orthodox|0.6666666666666666|32.25806451612903|1.0666666666666667|73.33333333333334|0.0|0.0|0.0|0.0
33|2000-06-09|male|lightweight|False|win| Decision - Unanimous |3|5:00|3Rnd(5-5-5)|Jens Pulver|Little Evil|26.0|22|17|1|7.683333333333334|"5' 7"""|"70"""|Southpaw|7.02819956616052|0.5046728971962616|2.6030368763557483|45.945945945945944|5.856832971800434|1.0|0.0|3.9045553145336225|Joao Roque|No_Nickname|29.0|7|1|4|15.0|"5' 6"""||Orthodox|0.3333333333333333|8.47457627118644|0.26666666666666666|95.23809523809523|1.0|5.555555555555555|0.0|0.0
34|2000-06-09|male|welterweight|True|win| Submission |2|1:43|3Rnd(5-5-5)|Pat Miletich|The Croatian Sensation|32.0|26|5|2|6.566666666666666|"5' 10"""||Orthodox|1.9796954314720814|0.30952380952380953|1.5228426395939088|47.36842105263158|0.0|0.0|100.0|0.0|John Alessio|The Natural|21.0|35|12|0|6.716666666666667|"5' 10"""|"72"""|Orthodox|0.1488833746898263|50.0|1.3399503722084367|50.0|0.0|0.0|0.0|4.4665012406947895
35|2000-06-09|male|heavyweight|True|win| Decision - Unanimous |5|5:00|5Rnd(5-5-5-5-5)|Kevin Randleman|The Monster|29.0|15|14|0|25.0|"5' 10"""||Orthodox|0.4|0.23255813953488372|0.32|61.904761904761905|3.5999999999999996|0.5454545454545454|0.0|1.2|Pedro Rizzo|The Rock|26.0|15|6|0|11.283333333333333|"6' 1"""||Orthodox|1.240768094534712|0.2978723404255319|1.240768094534712|57.57575757575757|0.0|0.0|100.0|0.0
36|2000-06-09|male|welterweight|False|win| TKO - Doctor's Stoppage |1|4:34|3Rnd(5-5-5)|Matt Hughes|No_Nick|27.0|28|2|0|15.0|"5' 9"""|"73"""|Switch|5.133333333333334|0.6581196581196581|0.4666666666666667|72.0|5.0|0.5555555555555556|0.0|0.0|Marcelo Aguiar|No_Nickname||2|2|1|4.566666666666666|"5' 10"""||Orthodox|0.43795620437956206|100.0|3.9416058394160585|41.93548387096774|0.0|0.0|33.333333333333336|0.0
